MKHITARYAN,Roma,31
CHIESA,Juventus,28
LUIS ALBERTO,Lazio,26
KESSIE,Milan,26
VERETOUT,Roma,26
MALINOVSKYI,Atalanta,25
MILINKOVIC-SAVIC,Lazio,25
PELLEGRINI LO,Roma,24
ZIELINSKI,Napoli,23
CALHANOGLU,Inter,20
ZACCAGNI,Lazio,20
BARELLA,Inter,19
